sp,HWI,migratory,area
Atlapetes_pileatus,29.12082043,No-migrant,30.34819228
Atlapetes_rufinucha,22.86831317,No-migrant,3.303132962
Atlapetes_schistaceus,20.53353254,No-migrant,11.73583097
Atlapetes_semirufus,21.36733139,No-migrant,5.575964199
Basileuterus_belli,28.00104695,No-migrant,28.628052
Basileuterus_culicivorus,36.78336496,No-migrant,44.50388647
Basileuterus_lachrymosus,34.48306935,No-migrant,29.43409396
Basileuterus_melanogenys,30.33008119,No-migrant,0.397674937
Basileuterus_rufifrons,24.63296686,No-migrant,82.94360499
Basileuterus_tristriatus,30.29394994,No-migrant,39.0986842
Buthraupis_montana,33.57109923,No-migrant,24.59085452
Cacicus_cela,44.06039914,No-migrant,703.5741119
Cacicus_chrysopterus,30.84001299,No-migrant,147.5860371
Cacicus_haemorrhous,40.78118185,No-migrant,668.9419379
Cacicus_solitarius,27.85374077,No-migrant,737.1800541
Cacicus_uropygialis,40.58336905,No-migrant,11.26493901
Calamospiza_melanocorys,40.71267222,Migrant,328.2597938
Calcarius_lapponicus,47.87575226,Migrant,3347.677593
Calcarius_ornatus,40.01013754,Migrant,232.7849014
Calcarius_pictus,52.57500393,Migrant,224.0373902
Cardellina_canadensis,39.51669624,Migrant,520.2013531
Cardellina_pusilla,37.8295589,Migrant,1300.998595
Cardellina_rubra,27.91287603,No-migrant,20.09842214
Cardellina_rubrifrons,37.50858753,Migrant,58.35023771
Cardinalis_cardinalis,28.23227597,No-migrant,581.3119341
Cardinalis_phoeniceus,21.09888675,No-migrant,5.763656617
Caryothraustes_canadensis,37.49717784,No-migrant,216.6956955
Caryothraustes_poliogaster,29.6902229,No-migrant,26.74586888
Cassiculus_melanicterus,38.61794369,No-migrant,20.03522731
Catamenia_analis,34.18624426,No-migrant,91.46410209
Catamenia_homochroa,26.9092367,No-migrant,23.33538583
Catamenia_inornata,31.64270384,No-migrant,68.70835824
Certhidea_fusca,31.46369627,No-migrant,0.084454281
Certhidea_olivacea,27.81617041,No-migrant,0.568541201
Chlorochrysa_calliparaea,37.58710282,No-migrant,12.04357415
Chlorochrysa_nitidissima,34.71673733,No-migrant,1.417667686
Chlorospingus_canigularis,31.37288784,No-migrant,13.52162989
Chlorospingus_flavopectus,28.28827155,No-migrant,49.06341824
Chlorospingus_pileatus,37.10496136,No-migrant,0.324480912
Chlorospingus_semifuscus,28.3413351,No-migrant,2.127913134
Chondestes_grammacus,43.73402436,Migrant,680.476389
Chrysomus_icterocephalus,26.97236141,No-migrant,129.3690043
Chrysomus_ruficapillus,38.32575187,No-migrant,506.244432
Cnemathraupis_eximia,28.43410388,No-migrant,4.890542961
Curaeus_curaeus,37.25758913,Migrant,119.1898051
Cyanicterus_cyanicterus,39.44040715,No-migrant,34.43553733
Cyanocompsa_parellina,35.21702746,No-migrant,49.54814129
Cyanoloxia_brissonii,34.1707288,No-migrant,508.7493067
Cyanoloxia_cyanoides,34.36369563,No-migrant,72.90169756
Cyanoloxia_rothschildii,28.51176556,No-migrant,539.9675424
Dacnis_cayana,35.07191257,No-migrant,999.3569298
Dacnis_flaviventer,32.61209608,No-migrant,337.3794234
Dacnis_lineata,37.37518471,No-migrant,494.998184
Dacnis_venusta,39.42695663,No-migrant,16.62620756
Diglossa_albilatera,23.16587201,No-migrant,20.78349024
Diglossa_caerulescens,29.01938997,No-migrant,23.08877835
Diglossa_carbonaria,28.31884577,No-migrant,5.964222912
Diglossa_cyanea,32.28460707,No-migrant,32.20804415
Diglossa_gloriosa,29.68388825,No-migrant,0.938954136
Diglossa_humeralis,33.10364804,No-migrant,12.66901876
Diglossa_lafresnayii,29.44353421,No-migrant,8.939755056
Diglossa_plumbea,29.06215316,No-migrant,0.735030351
Diglossa_sittoides,37.28513884,No-migrant,49.42752031
Diuca_diuca,36.90242425,Migrant,256.4966945
